Gene Id: 	 Protein Id: DAA00620.1	 Virus Id: AC_000007.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 552
Gene Id: U47A	 Protein Id: SPC53497.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 161
Gene Id: U48	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2084
Gene Id: U48	 Protein Id: CAA58382.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2081
Gene Id: U49	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 758
Gene Id: U49	 Protein Id: CAA58383.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 755
Gene Id: U50	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1667
Gene Id: U50	 Protein Id: CAA58384.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1664
Gene Id: U51	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 905
Gene Id: U51	 Protein Id: CAA58385.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 902
Gene Id: U52	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 776
Gene Id: U52	 Protein Id: CAA58386.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 773
Gene Id: U53	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1586
Gene Id: U53	 Protein Id: CAA58387.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1583
Gene Id: U53.5	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 734
Gene Id: U53.5	 Protein Id: SPC53499.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 731
Gene Id: U54	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1376
Gene Id: U54	 Protein Id: CAA58388.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1373
Gene Id: U55	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1298
Gene Id: U55	 Protein Id: CAA58389.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1295
Gene Id: U56	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 890
Gene Id: U56	 Protein Id: CAA58390.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 887
Gene Id: U57	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 4037
Gene Id: U57	 Protein Id: CAA58391.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 4034
Gene Id: U58	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2318
Gene Id: U58	 Protein Id: CAA58350.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2315
Gene Id: U59	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1052
Gene Id: U59	 Protein Id: CAA58351.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1049
Gene Id: U60/66	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 5198
Gene Id: U60/66	 Protein Id: SPC53501.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 872
Gene Id: U60/66	 Protein Id: SPC53501.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1124
Gene Id: U62	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 257
Gene Id: U62	 Protein Id: CAA58354.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 254
Gene Id: U63	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 650
Gene Id: U63	 Protein Id: CAA58355.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 647
Gene Id: U64	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1328
Gene Id: U64	 Protein Id: CAA58356.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1325
Gene Id: U65	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1007
Gene Id: U65	 Protein Id: CAA58357.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1004
Gene Id: U67	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1061
Gene Id: U67	 Protein Id: CAA58359.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1058
Gene Id: U68	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 344
Gene Id: U68	 Protein Id: CAA58360.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 341
Gene Id: U69	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1688
Gene Id: U69	 Protein Id: CAA58361.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1685
Gene Id: U70	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1466
Gene Id: U70	 Protein Id: CAA58362.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1463
Gene Id: U71	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 233
Gene Id: U71	 Protein Id: CAA58363.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 230
Gene Id: U72	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1034
Gene Id: U72	 Protein Id: CAA58364.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1031
Gene Id: U73	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2342
Gene Id: U73	 Protein Id: CAA58365.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2339
Gene Id: U74	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1988
Gene Id: U74	 Protein Id: CAA58366.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1985
Gene Id: U75	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 749
Gene Id: U75	 Protein Id: CAA58367.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 746
Gene Id: U76	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1940
Gene Id: U76	 Protein Id: CAA58368.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1937
Gene Id: U77	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2474
Gene Id: U77	 Protein Id: CAA58369.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2471
Gene Id: U79	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1602
Gene Id: U79	 Protein Id: CAA58371.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 630
Gene Id: U79	 Protein Id: CAA58371.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 196
Gene Id: U79	 Protein Id: CAA58371.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 593
Gene Id: U81	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 767
Gene Id: U81	 Protein Id: CAA58330.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 764
Gene Id: U82	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 752
Gene Id: U82	 Protein Id: CAA58331.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 749
Gene Id: U83	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 293
Gene Id: U83	 Protein Id: CAA58332.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 290
Gene Id: U84	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1028
Gene Id: U84	 Protein Id: CAA58333.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1025
Gene Id: U85	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 872
Gene Id: U85	 Protein Id: CAA58334.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 869
Gene Id: U86	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 10125
Gene Id: U86	 Protein Id: CAA58335.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 58
Gene Id: U86	 Protein Id: CAA58335.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 193
Gene Id: U86	 Protein Id: CAA58335.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 4102
Gene Id: U90	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 58
Gene Id: U90	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 193
Gene Id: U90	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2572
Gene Id: U90	 Protein Id: CAA58339.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 58
Gene Id: U90	 Protein Id: CAA58339.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 193
Gene Id: U90	 Protein Id: CAA58339.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2569
Gene Id: U91	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 210
Gene Id: U91	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 250
Gene Id: U91	 Protein Id: CAA58340.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 210
Gene Id: U91	 Protein Id: CAA58340.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 247
Gene Id: U94	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1472
Gene Id: U94	 Protein Id: CAA58343.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1469
Gene Id: U95	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 3365
Gene Id: U95	 Protein Id: CAA58344.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 3362
Gene Id: U100	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 3640
Gene Id: U100	 Protein Id: CAA58349.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 409
Gene Id: U100	 Protein Id: CAA58349.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 281
Gene Id: U100	 Protein Id: CAA58349.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 335
Gene Id: U100	 Protein Id: CAA58349.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 77
Gene Id: U100	 Protein Id: CAA58349.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 107
Gene Id: U100	 Protein Id: CAA58349.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 113
Gene Id: U100	 Protein Id: CAA58349.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 160
Gene Id: U100	 Protein Id: CAA58349.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 9
Gene Id: U100	 Protein Id: CAA58349.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 128
Gene Id: U100	 Protein Id: CAA58349.2	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 339
Gene Id: DR1_1	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 2240
Gene Id: DR1_1	 Protein Id: SPC53506.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 258
Gene Id: DR1_1	 Protein Id: SPC53506.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1807
Gene Id: DR6_1	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 303
Gene Id: DR6_1	 Protein Id: 	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 865
Gene Id: DR6_1	 Protein Id: SPC53507.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 303
Gene Id: DR6_1	 Protein Id: SPC53507.1	 Virus Id: NC_001664.4	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 862
Gene Id: E6	 Protein Id: 	 Virus Id: NC_001676.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 434
Gene Id: E6	 Protein Id: AAA79187.1	 Virus Id: NC_001676.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 431
Gene Id: E7	 Protein Id: 	 Virus Id: NC_001676.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 287
Gene Id: E7	 Protein Id: AAA79188.1	 Virus Id: NC_001676.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 284
Gene Id: E1	 Protein Id: 	 Virus Id: NC_001676.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1901
Gene Id: E1	 Protein Id: AAA79189.1	 Virus Id: NC_001676.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1898
Gene Id: E2	 Protein Id: 	 Virus Id: NC_001676.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1103
Gene Id: E2	 Protein Id: AAA79190.1	 Virus Id: NC_001676.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1100
Gene Id: E4	 Protein Id: 	 Virus Id: NC_001676.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 404
Gene Id: E4	 Protein Id: AAA79191.1	 Virus Id: NC_001676.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 401
Gene Id: L2	 Protein Id: 	 Virus Id: NC_001676.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1412
Gene Id: L2	 Protein Id: AAA79192.1	 Virus Id: NC_001676.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1409
Gene Id: L1	 Protein Id: 	 Virus Id: NC_001676.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1493
Gene Id: L1	 Protein Id: AAA79193.1	 Virus Id: NC_001676.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1490
Gene Id: E6	 Protein Id: 	 Virus Id: NC_001690.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 428
Gene Id: E6	 Protein Id: AAA79464.1	 Virus Id: NC_001690.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 425
Gene Id: E7	 Protein Id: 	 Virus Id: NC_001690.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 281
Gene Id: E7	 Protein Id: AAA79465.1	 Virus Id: NC_001690.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 278
Gene Id: E1	 Protein Id: 	 Virus Id: NC_001690.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1781
Gene Id: E1	 Protein Id: AAA79466.1	 Virus Id: NC_001690.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1778
Gene Id: E2	 Protein Id: 	 Virus Id: NC_001690.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1190
Gene Id: E2	 Protein Id: AAA79467.1	 Virus Id: NC_001690.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1187
Gene Id: E4	 Protein Id: 	 Virus Id: NC_001690.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 401
Gene Id: E4	 Protein Id: AAA79468.1	 Virus Id: NC_001690.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 398
Gene Id: L2	 Protein Id: 	 Virus Id: NC_001690.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1508
Gene Id: L2	 Protein Id: AAA79469.1	 Virus Id: NC_001690.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1505
Gene Id: L1	 Protein Id: 	 Virus Id: NC_001690.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1541
Gene Id: L1	 Protein Id: AAA79470.1	 Virus Id: NC_001690.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1538
Gene Id: E6	 Protein Id: 	 Virus Id: NC_001691.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 425
Gene Id: E6	 Protein Id: AAA79471.1	 Virus Id: NC_001691.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 422
Gene Id: E7	 Protein Id: 	 Virus Id: NC_001691.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 281
Gene Id: E7	 Protein Id: AAA79472.1	 Virus Id: NC_001691.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 278
Gene Id: E1	 Protein Id: 	 Virus Id: NC_001691.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1799
Gene Id: E1	 Protein Id: AAA79473.1	 Virus Id: NC_001691.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1796
Gene Id: E2	 Protein Id: 	 Virus Id: NC_001691.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1190
Gene Id: E2	 Protein Id: AAA79474.1	 Virus Id: NC_001691.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1187
Gene Id: E4	 Protein Id: 	 Virus Id: NC_001691.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 440
Gene Id: E4	 Protein Id: AAA79475.1	 Virus Id: NC_001691.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 437
Gene Id: L2	 Protein Id: 	 Virus Id: NC_001691.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1520
Gene Id: L2	 Protein Id: AAA79476.1	 Virus Id: NC_001691.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1517
Gene Id: L1	 Protein Id: 	 Virus Id: NC_001691.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1547
Gene Id: L1	 Protein Id: AAA79477.1	 Virus Id: NC_001691.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1544
Gene Id: E6	 Protein Id: 	 Virus Id: NC_001693.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 428
Gene Id: E6	 Protein Id: NP_043437.1	 Virus Id: NC_001693.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 425
Gene Id: E7	 Protein Id: 	 Virus Id: NC_001693.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 290
Gene Id: E7	 Protein Id: NP_043438.1	 Virus Id: NC_001693.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 287
Gene Id: E1	 Protein Id: 	 Virus Id: NC_001693.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1832
Gene Id: E1	 Protein Id: NP_043439.1	 Virus Id: NC_001693.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1829
Gene Id: E2	 Protein Id: 	 Virus Id: NC_001693.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1214
Gene Id: E2	 Protein Id: NP_043440.1	 Virus Id: NC_001693.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1211
Gene Id: E4	 Protein Id: 	 Virus Id: NC_001693.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 623
Gene Id: E4	 Protein Id: NP_043441.1	 Virus Id: NC_001693.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 620
Gene Id: L2	 Protein Id: 	 Virus Id: NC_001693.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1577
Gene Id: L2	 Protein Id: NP_043442.1	 Virus Id: NC_001693.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1574
Gene Id: L1	 Protein Id: 	 Virus Id: NC_001693.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1526
Gene Id: L1	 Protein Id: NP_043443.1	 Virus Id: NC_001693.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1523
Gene Id: E6	 Protein Id: 	 Virus Id: NC_001694.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 440
Gene Id: E6	 Protein Id: AAA79492.1	 Virus Id: NC_001694.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 437
Gene Id: E7	 Protein Id: 	 Virus Id: NC_001694.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 287
Gene Id: E7	 Protein Id: AAA79493.1	 Virus Id: NC_001694.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 284
Gene Id: E1	 Protein Id: 	 Virus Id: NC_001694.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1958
Gene Id: E1	 Protein Id: AAA79494.1	 Virus Id: NC_001694.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1955
Gene Id: E2	 Protein Id: 	 Virus Id: NC_001694.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1148
Gene Id: E2	 Protein Id: AAA79495.1	 Virus Id: NC_001694.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1145
Gene Id: E4	 Protein Id: 	 Virus Id: NC_001694.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 317
Gene Id: E4	 Protein Id: AAA79496.1	 Virus Id: NC_001694.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 314
Gene Id: L2	 Protein Id: 	 Virus Id: NC_001694.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1379
Gene Id: L2	 Protein Id: AAA79497.1	 Virus Id: NC_001694.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1376
Gene Id: L1	 Protein Id: 	 Virus Id: NC_001694.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1517
Gene Id: L1	 Protein Id: AAA79498.1	 Virus Id: NC_001694.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1514
Gene Id: 	 Protein Id: AAA82098.1	 Virus Id: NC_001699.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 212
Gene Id: 	 Protein Id: AAA82099.1	 Virus Id: NC_001699.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 1031
Gene Id: 	 Protein Id: AAA82100.1	 Virus Id: NC_001699.1	 Percentage of covered: 0.0 %	 Percentage of not covered: 100.0 %	 From: 674
